customer,location,soap_type,quantity,age,payment_type,,Points,Explanation/Questions,,,,,,
1282,rural,single,2,24,credit card,,,,,,,,,
1283,rural,single,8,62,cash,,,,,,,,,
1284,rural,single,1,96,credit card,,,,,,,,,
1285,rural,single,3,69,check,,,,,,,,,
1286,rural,single,4,60,check,,,,,,,,,
1287,rural,single,4,89,cash,,,,,,,,,
1288,rural,twin,9,38,credit card,,,,,,,,,
1289,suburban,twin,6,27,cash,,,,,,,,,
1290,suburban,twin,NA,NA,NA,,,,,,,,,
1291,suburban,twin,8,95,cash,,,,,,,,,
1292,suburban,bundle,9,21,cash,,,,,,,,,
1293,suburban,bundle,3,73,credit card,,,,,,,,,
1294,suburban,bundle,8,37,cash,,,,,,,,,
1295,urban,bundle,10,43,cash,,,,,,,,,
1296,urban,liquid,3,64,cash,,,,,,,,,
1297,urban,liquid,10,33,credit card,,,,,,,,,
1298,urban,liquid,6,96,check,,,,,,,,,
1299,urban,liquid,10,65,credit card,,,,,,,,,
1300,urban,liquid,7,88,credit card,,,,,,,,,
1301,urban,liquid,9,77,check,,,,,,,,,
1302,rural,single,8,56,cash,,,,,,,,,
1303,rural,single,1,24,credit card,,,,,,,,,
1304,rural,single,1,51,credit card,,,,,,,,,
1305,rural,single,9,73,credit card,,,,,,,,,
1306,rural,single,5,24,check,,,,,,,,,
1307,suburban,twin,4,58,check,,,,,,,,,
1308,suburban,twin,NA,NA,NA,,,,,,,,,
1309,suburban,twin,8,31,cash,,,,,,,,,
1310,suburban,twin,8,58,cash,,,,,,,,,
1311,suburban,twin,2,56,check,,,,,,,,,
1312,suburban,twin,10,86,cash,,,,,,,,,
1313,suburban,bundle,9,34,check,,,,,,,,,
1314,suburban,bundle,9,77,credit card,,,,,,,,,
1315,urban,liquid,6,93,check,,,,,,,,,
1316,urban,liquid,1,50,check,,,,,,,,,
1317,rural,single,6,83,credit card,,,,,,,,,
1318,rural,single,10,52,check,,,,,,,,,
1319,rural,single,8,75,credit card,,,,,,,,,
1320,rural,single,3,19,credit card,,,,,,,,,
1321,rural,single,10,41,check,,,,,,,,,
1322,rural,single,6,71,check,,,,,,,,,
1323,rural,single,1,71,cash,,,,,,,,,
1324,rural,single,1,75,check,,,,,,,,,
1325,rural,twin,1,59,credit card,,,,,,,,,
1326,rural,twin,6,23,cash,,,,,,,,,
1327,suburban,twin,5,88,credit card,,,,,,,,,
1328,suburban,bundle,9,37,credit card,,,,,,,,,
1329,suburban,bundle,10,67,cash,,,,,,,,,
1330,suburban,bundle,9,19,credit card,,,,,,,,,
1331,suburban,bundle,9,98,credit card,,,,,,,,,
1332,urban,bundle,3,85,cash,,,,,,,,,
1333,urban,liquid,10,18,check,,,,,,,,,
1334,urban,liquid,3,66,cash,,,,,,,,,
1335,urban,liquid,1,18,credit card,,,,,,,,,
1336,urban,liquid,5,95,check,,,,,,,,,
1337,rural,single,5,46,check,,,,,,,,,
1338,rural,single,8,92,check,,,,,,,,,
1339,rural,single,4,92,cash,,,,,,,,,
1340,rural,single,6,25,cash,,,,,,,,,
1341,rural,single,NA,NA,NA,,,,,,,,,
1342,rural,single,9,77,cash,,,,,,,,,
1343,rural,twin,10,90,cash,,,,,,,,,
1344,rural,twin,NA,NA,NA,,,,,,,,,
1345,suburban,twin,7,32,check,,,,,,,,,
1346,suburban,twin,10,42,check,,,,,,,,,
1347,suburban,twin,9,86,credit card,,,,,,,,,
1348,suburban,twin,1,57,check,,,,,,,,,
1349,suburban,twin,7,85,cash,,,,,,,,,
1350,suburban,bundle,10,49,credit card,,,,,,,,,
1351,suburban,bundle,3,34,check,,,,,,,,,
1352,suburban,bundle,NA,NA,NA,,,,,,,,,
1353,urban,liquid,6,88,check,,,,,,,,,
1354,urban,liquid,5,79,cash,,,,,,,,,
1355,urban,liquid,10,73,credit card,,,,,,,,,
1356,urban,liquid,8,92,credit card,,,,,,,,,
1357,rural,single,3,85,credit card,,,,,,,,,
1358,rural,single,2,78,credit card,,,,,,,,,
1359,rural,single,9,31,cash,,,,,,,,,
1360,rural,single,3,68,credit card,,,,,,,,,
1361,rural,twin,2,45,cash,,,,,,,,,
1362,rural,twin,3,40,check,,,,,,,,,
1363,rural,twin,7,25,cash,,,,,,,,,
1364,suburban,twin,4,63,credit card,,,,,,,,,
1365,suburban,twin,2,63,credit card,,,,,,,,,
1366,suburban,bundle,9,21,credit card,,,,,,,,,
1367,suburban,bundle,5,64,credit card,,,,,,,,,
1368,urban,bundle,2,98,check,,,,,,,,,
1369,urban,liquid,7,27,credit card,,,,,,,,,
1370,urban,liquid,NA,NA,NA,,,,,,,,,
1371,urban,liquid,3,26,check,,,,,,,,,
1372,urban,liquid,NA,NA,NA,,,,,,,,,
1373,urban,liquid,7,50,credit card,,,,,,,,,
1374,rural,single,10,69,credit card,,,,,,,,,
1375,rural,single,8,73,check,,,,,,,,,
1376,rural,single,3,22,cash,,,,,,,,,
1377,rural,single,4,69,cash,,,,,,,,,
1378,rural,single,8,82,credit card,,,,,,,,,
1379,rural,twin,9,26,credit card,,,,,,,,,
1380,rural,twin,9,18,cash,,,,,,,,,
1381,rural,twin,1,73,cash,,,,,,,,,
1382,suburban,twin,2,98,credit card,,,,,,,,,
1383,suburban,twin,8,58,check,,,,,,,,,
1384,suburban,bundle,3,24,credit card,,,,,,,,,
1385,urban,bundle,5,23,credit card,,,,,,,,,
1386,urban,liquid,6,95,cash,,,,,,,,,
1387,urban,liquid,5,83,cash,,,,,,,,,
1388,rural,single,4,50,check,,,,,,,,,
1389,rural,single,10,73,check,,,,,,,,,
1390,rural,single,NA,NA,NA,,,,,,,,,
1391,rural,single,8,19,credit card,,,,,,,,,
1392,rural,single,1,91,credit card,,,,,,,,,
1393,rural,single,6,72,credit card,,,,,,,,,
1394,rural,single,8,76,cash,,,,,,,,,
1395,rural,single,1,82,credit card,,,,,,,,,
1396,rural,single,10,66,credit card,,,,,,,,,
1397,rural,twin,9,74,check,,,,,,,,,
1398,suburban,bundle,1,98,cash,,,,,,,,,
1399,suburban,bundle,7,90,check,,,,,,,,,
1400,urban,bundle,8,64,credit card,,,,,,,,,
1401,rural,single,7,32,credit card,,,,,,,,,
1402,rural,single,4,65,credit card,,,,,,,,,
1403,rural,single,6,53,cash,,,,,,,,,
1404,rural,single,1,97,check,,,,,,,,,
1405,rural,single,10,46,credit card,,,,,,,,,
1406,rural,single,9,52,credit card,,,,,,,,,
1407,rural,single,10,39,credit card,,,,,,,,,
1408,rural,single,6,24,credit card,,,,,,,,,
1409,rural,single,1,46,credit card,,,,,,,,,
1410,rural,twin,6,43,cash,,,,,,,,,
1411,suburban,twin,2,40,check,,,,,,,,,
1412,suburban,twin,8,24,credit card,,,,,,,,,
1413,suburban,twin,9,70,credit card,,,,,,,,,
1414,suburban,bundle,8,26,credit card,,,,,,,,,
1415,suburban,bundle,5,93,cash,,,,,,,,,
1416,suburban,bundle,NA,NA,NA,,,,,,,,,
1417,urban,bundle,5,80,credit card,,,,,,,,,
1418,urban,liquid,3,90,check,,,,,,,,,
1419,urban,liquid,1,28,cash,,,,,,,,,
1420,urban,liquid,6,41,credit card,,,,,,,,,
1421,urban,liquid,8,56,check,,,,,,,,,
1422,rural,single,7,73,check,,,,,,,,,
1423,rural,single,3,88,cash,,,,,,,,,
1424,rural,single,10,58,check,,,,,,,,,
1425,rural,single,2,24,credit card,,,,,,,,,
1426,rural,single,1,48,cash,,,,,,,,,
1427,rural,single,2,93,cash,,,,,,,,,
1428,rural,twin,3,45,credit card,,,,,,,,,
1429,suburban,twin,4,55,cash,,,,,,,,,
1430,suburban,twin,1,32,check,,,,,,,,,
1431,suburban,bundle,5,43,check,,,,,,,,,
1432,suburban,bundle,8,72,credit card,,,,,,,,,
1433,suburban,bundle,7,94,credit card,,,,,,,,,
1434,suburban,bundle,6,31,check,,,,,,,,,
1435,rural,single,5,31,check,,,,,,,,,
1436,rural,single,5,52,credit card,,,,,,,,,
1437,rural,single,7,71,credit card,,,,,,,,,
1438,rural,single,2,47,credit card,,,,,,,,,
1439,rural,single,10,39,cash,,,,,,,,,
1440,suburban,twin,2,58,check,,,,,,,,,
1441,suburban,twin,4,98,check,,,,,,,,,
1442,suburban,bundle,7,27,credit card,,,,,,,,,
1443,suburban,bundle,10,60,credit card,,,,,,,,,
1444,suburban,bundle,6,69,check,,,,,,,,,
1445,suburban,bundle,3,92,check,,,,,,,,,
1446,suburban,bundle,9,94,check,,,,,,,,,
1447,urban,bundle,NA,NA,NA,,,,,,,,,
1448,urban,bundle,3,58,cash,,,,,,,,,
1449,urban,liquid,5,37,check,,,,,,,,,
1450,rural,single,8,45,check,,,,,,,,,
1451,rural,single,10,83,credit card,,,,,,,,,
1452,rural,single,2,34,cash,,,,,,,,,
1453,rural,single,8,35,credit card,,,,,,,,,
1454,rural,single,4,29,credit card,,,,,,,,,
1455,rural,single,9,34,check,,,,,,,,,
1456,rural,single,5,50,cash,,,,,,,,,
1457,rural,twin,3,85,credit card,,,,,,,,,
1458,rural,twin,6,98,check,,,,,,,,,
1459,suburban,twin,8,26,check,,,,,,,,,
1460,suburban,twin,10,77,cash,,,,,,,,,
1461,suburban,twin,5,49,cash,,,,,,,,,
1462,suburban,bundle,10,35,cash,,,,,,,,,
1463,suburban,bundle,3,88,check,,,,,,,,,
1464,suburban,bundle,1,97,check,,,,,,,,,
1465,urban,liquid,8,57,check,,,,,,,,,
1466,urban,liquid,4,45,check,,,,,,,,,
1467,urban,liquid,10,67,check,,,,,,,,,
1468,rural,single,4,38,cash,,,,,,,,,
1469,rural,single,7,66,credit card,,,,,,,,,
1470,rural,single,1,28,credit card,,,,,,,,,
1471,rural,single,6,38,cash,,,,,,,,,
1472,suburban,twin,2,54,cash,,,,,,,,,
1473,suburban,twin,10,33,check,,,,,,,,,
1474,suburban,twin,2,80,check,,,,,,,,,
1475,suburban,bundle,1,82,credit card,,,,,,,,,
1476,suburban,bundle,7,83,cash,,,,,,,,,
1477,suburban,bundle,3,92,credit card,,,,,,,,,
1478,suburban,bundle,9,22,credit card,,,,,,,,,
1479,suburban,bundle,8,28,credit card,,,,,,,,,
1480,suburban,bundle,9,76,credit card,,,,,,,,,
1481,urban,bundle,1,33,cash,,,,,,,,,
1482,urban,bundle,5,33,check,,,,,,,,,
1483,urban,liquid,3,68,credit card,,,,,,,,,
1484,urban,liquid,4,22,cash,,,,,,,,,
1485,urban,liquid,6,58,cash,,,,,,,,,
1486,rural,single,1,31,cash,,,,,,,,,
1487,rural,single,7,93,credit card,,,,,,,,,
1488,rural,single,NA,NA,NA,,,,,,,,,
1489,rural,single,3,49,cash,,,,,,,,,
1490,rural,single,7,38,check,,,,,,,,,
1491,rural,single,NA,NA,NA,,,,,,,,,
1492,rural,single,3,58,cash,,,,,,,,,
1493,rural,single,5,71,cash,,,,,,,,,
1494,rural,single,2,47,cash,,,,,,,,,
1495,rural,twin,1,55,cash,,,,,,,,,
1496,suburban,twin,3,24,credit card,,,,,,,,,
1497,suburban,twin,8,26,check,,,,,,,,,
1498,suburban,twin,6,51,cash,,,,,,,,,
1499,suburban,bundle,1,35,credit card,,,,,,,,,
1500,suburban,bundle,2,38,credit card,,,,,,,,,
1501,suburban,bundle,6,79,cash,,,,,,,,,
1502,urban,liquid,1,93,credit card,,,,,,,,,
1503,urban,liquid,7,35,credit card,,,,,,,,,
1504,rural,single,1,39,credit card,,,,,,,,,
1505,rural,single,2,21,cash,,,,,,,,,
1506,rural,single,NA,NA,NA,,,,,,,,,
1507,rural,single,6,25,cash,,,,,,,,,
1508,rural,single,7,69,check,,,,,,,,,
1509,rural,single,3,36,cash,,,,,,,,,
1510,rural,single,NA,NA,NA,,,,,,,,,
1511,rural,single,3,75,credit card,,,,,,,,,
1512,rural,twin,6,59,credit card,,,,,,,,,
1513,suburban,twin,9,45,check,,,,,,,,,
1514,suburban,twin,3,59,check,,,,,,,,,
1515,suburban,bundle,3,65,cash,,,,,,,,,
1516,urban,liquid,9,85,credit card,,,,,,,,,
1517,rural,single,6,53,cash,,,,,,,,,
1518,rural,single,5,70,cash,,,,,,,,,
1519,rural,single,9,21,cash,,,,,,,,,
1520,rural,single,4,54,credit card,,,,,,,,,
1521,rural,twin,7,21,check,,,,,,,,,
1522,suburban,twin,7,60,credit card,,,,,,,,,
1523,suburban,twin,NA,NA,NA,,,,,,,,,
1524,suburban,bundle,3,33,check,,,,,,,,,
1525,suburban,bundle,5,95,credit card,,,,,,,,,
1526,suburban,bundle,2,77,credit card,,,,,,,,,
1527,urban,bundle,9,73,cash,,,,,,,,,
1528,urban,liquid,5,96,credit card,,,,,,,,,
1529,urban,liquid,10,89,cash,,,,,,,,,
1530,rural,single,6,98,cash,,,,,,,,,
1531,rural,single,4,83,cash,,,,,,,,,
1532,rural,single,3,44,check,,,,,,,,,
1533,rural,single,8,56,check,,,,,,,,,
1534,rural,single,9,78,check,,,,,,,,,
1535,suburban,twin,6,27,cash,,,,,,,,,
1536,suburban,twin,2,77,credit card,,,,,,,,,
1537,suburban,twin,9,27,credit card,,,,,,,,,
1538,suburban,twin,NA,NA,NA,,,,,,,,,
1539,suburban,bundle,8,87,credit card,,,,,,,,,
1540,urban,liquid,2,23,cash,,,,,,,,,
1541,urban,liquid,1,51,check,,,,,,,,,
1542,urban,liquid,10,73,credit card,,,,,,,,,
1543,urban,liquid,10,64,check,,,,,,,,,
1544,rural,single,8,59,cash,,,,,,,,,
1545,rural,single,1,67,credit card,,,,,,,,,
1546,rural,single,4,81,check,,,,,,,,,
1547,rural,single,4,61,check,,,,,,,,,
1548,rural,single,5,72,credit card,,,,,,,,,
1549,rural,single,2,46,check,,,,,,,,,
1550,suburban,twin,8,33,credit card,,,,,,,,,
1551,suburban,bundle,7,39,check,,,,,,,,,
1552,suburban,bundle,10,44,credit card,,,,,,,,,
1553,suburban,bundle,NA,NA,NA,,,,,,,,,
1554,urban,liquid,NA,NA,NA,,,,,,,,,
1555,urban,liquid,7,24,cash,,,,,,,,,
1556,urban,liquid,6,31,credit card,,,,,,,,,
1557,urban,liquid,6,28,credit card,,,,,,,,,
1558,rural,single,7,20,check,,,,,,,,,
1559,rural,single,6,43,check,,,,,,,,,
1560,rural,single,2,69,check,,,,,,,,,
1561,rural,single,10,85,cash,,,,,,,,,
1562,rural,single,5,89,cash,,,,,,,,,
1563,rural,twin,NA,NA,NA,,,,,,,,,
1564,suburban,twin,7,85,credit card,,,,,,,,,
1565,suburban,twin,8,48,credit card,,,,,,,,,
1566,suburban,twin,1,63,check,,,,,,,,,
1567,suburban,twin,9,29,cash,,,,,,,,,
1568,suburban,twin,1,44,credit card,,,,,,,,,
1569,suburban,twin,8,43,check,,,,,,,,,
1570,suburban,bundle,8,57,cash,,,,,,,,,
1571,suburban,bundle,7,77,cash,,,,,,,,,
1572,suburban,bundle,NA,NA,NA,,,,,,,,,
1573,urban,bundle,NA,NA,NA,,,,,,,,,
1574,urban,liquid,10,27,check,,,,,,,,,
1575,urban,liquid,4,46,check,,,,,,,,,
1576,urban,liquid,1,30,check,,,,,,,,,
1577,urban,liquid,5,34,check,,,,,,,,,
1578,rural,single,1,27,credit card,,,,,,,,,
1579,rural,single,5,45,cash,,,,,,,,,
1580,rural,twin,7,20,cash,,,,,,,,,
1581,rural,twin,3,29,check,,,,,,,,,
1582,suburban,twin,5,51,cash,,,,,,,,,
1583,suburban,bundle,6,77,check,,,,,,,,,
1584,suburban,bundle,9,48,credit card,,,,,,,,,
1585,urban,liquid,10,60,check,,,,,,,,,
1586,urban,liquid,NA,NA,NA,,,,,,,,,
1587,rural,single,4,68,check,,,,,,,,,
1588,rural,single,6,77,cash,,,,,,,,,
1589,rural,single,NA,NA,NA,,,,,,,,,
1590,rural,single,5,89,credit card,,,,,,,,,
1591,rural,single,NA,NA,NA,,,,,,,,,
1592,rural,single,7,55,cash,,,,,,,,,
1593,rural,single,8,38,check,,,,,,,,,
1594,rural,single,4,73,check,,,,,,,,,
1595,rural,single,5,82,cash,,,,,,,,,
1596,rural,twin,NA,NA,NA,,,,,,,,,
1597,suburban,twin,8,33,check,,,,,,,,,
1598,suburban,twin,10,48,cash,,,,,,,,,
1599,suburban,twin,6,32,check,,,,,,,,,
1600,suburban,twin,1,51,credit card,,,,,,,,,
1601,suburban,bundle,8,37,check,,,,,,,,,
1602,suburban,bundle,2,70,check,,,,,,,,,
1603,suburban,bundle,9,88,credit card,,,,,,,,,
1604,rural,single,7,35,cash,,,,,,,,,
1605,rural,single,3,79,credit card,,,,,,,,,
1606,rural,single,5,48,check,,,,,,,,,
1607,rural,single,4,63,cash,,,,,,,,,
1608,rural,single,1,98,check,,,,,,,,,
1609,rural,single,4,88,credit card,,,,,,,,,
1610,suburban,twin,7,50,check,,,,,,,,,
1611,suburban,bundle,10,88,credit card,,,,,,,,,
1612,suburban,bundle,9,33,credit card,,,,,,,,,
1613,urban,liquid,3,53,cash,,,,,,,,,
1614,urban,liquid,7,47,credit card,,,,,,,,,
1615,urban,liquid,7,84,check,,,,,,,,,
1616,urban,liquid,10,74,cash,,,,,,,,,
1617,urban,liquid,6,52,cash,,,,,,,,,
1618,rural,single,4,81,check,,,,,,,,,
1619,rural,single,NA,NA,NA,,,,,,,,,
1620,rural,single,7,73,credit card,,,,,,,,,
1621,rural,single,2,89,credit card,,,,,,,,,
1622,rural,single,4,31,check,,,,,,,,,
1623,rural,single,5,69,credit card,,,,,,,,,
1624,suburban,twin,3,98,check,,,,,,,,,
1625,suburban,bundle,4,33,cash,,,,,,,,,
1626,suburban,bundle,8,54,cash,,,,,,,,,
1627,urban,liquid,3,28,check,,,,,,,,,
1628,urban,liquid,5,43,check,,,,,,,,,
1629,urban,liquid,8,39,check,,,,,,,,,
1630,urban,liquid,2,38,credit card,,,,,,,,,
1631,rural,single,4,48,credit card,,,,,,,,,
1632,rural,single,NA,NA,NA,,,,,,,,,
1633,rural,single,9,37,check,,,,,,,,,
1634,rural,single,4,97,credit card,,,,,,,,,
1635,rural,single,5,64,credit card,,,,,,,,,
1636,rural,single,4,32,cash,,,,,,,,,
1637,rural,twin,1,38,check,,,,,,,,,
1638,rural,twin,9,90,credit card,,,,,,,,,
1639,suburban,twin,3,30,credit card,,,,,,,,,
1640,suburban,twin,2,72,check,,,,,,,,,
1641,suburban,twin,6,58,check,,,,,,,,,
1642,suburban,twin,10,34,cash,,,,,,,,,
1643,suburban,twin,4,63,credit card,,,,,,,,,
1644,suburban,bundle,7,61,credit card,,,,,,,,,
1645,urban,bundle,NA,NA,NA,,,,,,,,,
1646,urban,liquid,5,28,credit card,,,,,,,,,
1647,urban,liquid,7,90,credit card,,,,,,,,,
1648,urban,liquid,10,54,cash,,,,,,,,,
1649,urban,liquid,7,46,check,,,,,,,,,
1650,rural,single,2,28,cash,,,,,,,,,
1651,rural,single,5,51,check,,,,,,,,,
1652,rural,single,5,73,credit card,,,,,,,,,
1653,rural,single,4,95,check,,,,,,,,,
1654,rural,twin,6,94,check,,,,,,,,,
1655,suburban,bundle,1,19,cash,,,,,,,,,
1656,urban,bundle,2,31,check,,,,,,,,,
1657,urban,liquid,10,94,check,,,,,,,,,
1658,urban,liquid,5,74,cash,,,,,,,,,
1659,urban,liquid,4,74,credit card,,,,,,,,,
1660,rural,single,10,55,cash,,,,,,,,,
1661,rural,single,9,34,check,,,,,,,,,
1662,rural,single,8,20,cash,,,,,,,,,
1663,rural,single,8,38,check,,,,,,,,,
1664,rural,single,2,55,check,,,,,,,,,
1665,rural,twin,4,98,cash,,,,,,,,,
1666,rural,twin,1,69,credit card,,,,,,,,,
1667,rural,twin,1,87,cash,,,,,,,,,
1668,rural,twin,2,48,cash,,,,,,,,,
1669,suburban,twin,NA,NA,NA,,,,,,,,,
1670,suburban,twin,4,23,cash,,,,,,,,,
1671,suburban,bundle,3,98,credit card,,,,,,,,,
1672,urban,bundle,2,83,check,,,,,,,,,
1673,urban,liquid,9,84,cash,,,,,,,,,
1674,urban,liquid,5,51,check,,,,,,,,,
1675,urban,liquid,1,47,check,,,,,,,,,
1676,urban,liquid,8,82,cash,,,,,,,,,
1677,rural,single,2,52,credit card,,,,,,,,,
1678,rural,single,10,68,cash,,,,,,,,,
1679,rural,single,6,55,cash,,,,,,,,,
1680,rural,single,3,57,check,,,,,,,,,
1681,rural,single,NA,NA,NA,,,,,,,,,
1682,rural,single,3,97,credit card,,,,,,,,,
1683,rural,single,10,67,check,,,,,,,,,
1684,rural,twin,1,76,credit card,,,,,,,,,
1685,rural,twin,8,67,check,,,,,,,,,
1686,suburban,twin,6,63,cash,,,,,,,,,
1687,suburban,twin,8,49,cash,,,,,,,,,
1688,suburban,twin,7,67,check,,,,,,,,,
1689,suburban,twin,5,73,check,,,,,,,,,
1690,suburban,bundle,3,27,credit card,,,,,,,,,
1691,suburban,bundle,7,96,credit card,,,,,,,,,
1692,urban,liquid,4,79,credit card,,,,,,,,,
1693,urban,liquid,7,83,credit card,,,,,,,,,
1694,urban,liquid,1,32,check,,,,,,,,,
1695,urban,liquid,10,67,check,,,,,,,,,
1696,rural,single,9,74,cash,,,,,,,,,
1697,rural,single,8,79,cash,,,,,,,,,
1698,rural,single,7,20,cash,,,,,,,,,
1699,rural,single,3,81,check,,,,,,,,,
1700,rural,single,NA,NA,NA,,,,,,,,,
1701,rural,single,6,19,cash,,,,,,,,,
1702,rural,twin,3,50,cash,,,,,,,,,
1703,rural,twin,NA,NA,NA,,,,,,,,,
1704,suburban,twin,6,92,cash,,,,,,,,,
1705,suburban,twin,2,50,credit card,,,,,,,,,
1706,suburban,bundle,6,68,cash,,,,,,,,,
1707,suburban,bundle,6,37,cash,,,,,,,,,
1708,urban,liquid,NA,NA,NA,,,,,,,,,
1709,urban,liquid,6,60,check,,,,,,,,,
1710,rural,single,3,52,credit card,,,,,,,,,
1711,rural,single,5,36,check,,,,,,,,,
1712,rural,single,2,68,cash,,,,,,,,,
1713,rural,single,5,74,check,,,,,,,,,
1714,rural,single,9,33,check,,,,,,,,,
1715,rural,single,5,98,credit card,,,,,,,,,
1716,rural,single,2,74,cash,,,,,,,,,
1717,rural,single,NA,NA,NA,,,,,,,,,
1718,rural,twin,2,51,check,,,,,,,,,
1719,rural,twin,7,46,cash,,,,,,,,,
1720,suburban,twin,8,53,check,,,,,,,,,
1721,suburban,bundle,NA,NA,NA,,,,,,,,,
1722,suburban,bundle,NA,NA,NA,,,,,,,,,
1723,urban,liquid,4,71,credit card,,,,,,,,,
1724,urban,liquid,10,65,check,,,,,,,,,
1725,urban,liquid,2,27,check,,,,,,,,,
1726,urban,liquid,6,96,check,,,,,,,,,
1727,urban,liquid,4,62,check,,,,,,,,,
1728,urban,liquid,NA,NA,NA,,,,,,,,,
1729,urban,liquid,2,67,cash,,,,,,,,,
1730,rural,single,6,49,check,,,,,,,,,
1731,rural,single,8,88,cash,,,,,,,,,
1732,rural,single,3,73,cash,,,,,,,,,
1733,rural,single,4,58,check,,,,,,,,,
1734,rural,single,6,51,cash,,,,,,,,,
1735,rural,single,2,89,credit card,,,,,,,,,
1736,rural,single,3,80,cash,,,,,,,,,
1737,rural,single,6,36,cash,,,,,,,,,
1738,rural,twin,7,96,credit card,,,,,,,,,
1739,suburban,twin,NA,NA,NA,,,,,,,,,
1740,suburban,twin,6,93,check,,,,,,,,,
1741,suburban,twin,9,25,credit card,,,,,,,,,
1742,suburban,twin,8,19,credit card,,,,,,,,,
1743,suburban,bundle,10,59,cash,,,,,,,,,
1744,suburban,bundle,2,41,cash,,,,,,,,,
1745,urban,bundle,4,77,cash,,,,,,,,,
1746,urban,bundle,9,54,credit card,,,,,,,,,
1747,urban,liquid,1,21,credit card,,,,,,,,,
1748,urban,liquid,8,32,cash,,,,,,,,,
1749,urban,liquid,7,47,cash,,,,,,,,,
1750,urban,liquid,7,93,cash,,,,,,,,,
1751,urban,liquid,5,69,cash,,,,,,,,,
1752,urban,liquid,5,29,credit card,,,,,,,,,
1753,rural,single,4,42,cash,,,,,,,,,
1754,rural,single,NA,NA,NA,,,,,,,,,
1755,rural,single,8,58,credit card,,,,,,,,,
1756,rural,single,6,66,check,,,,,,,,,
1757,rural,single,2,38,cash,,,,,,,,,
1758,rural,single,9,24,check,,,,,,,,,
1759,rural,single,5,85,cash,,,,,,,,,
1760,rural,single,10,46,credit card,,,,,,,,,
1761,rural,single,1,98,check,,,,,,,,,
1762,rural,twin,10,59,credit card,,,,,,,,,
1763,suburban,twin,5,88,cash,,,,,,,,,
1764,suburban,twin,6,55,check,,,,,,,,,
1765,suburban,twin,10,49,cash,,,,,,,,,
1766,suburban,twin,1,49,check,,,,,,,,,
1767,suburban,twin,9,18,check,,,,,,,,,
1768,suburban,twin,9,77,credit card,,,,,,,,,
1769,suburban,bundle,2,39,cash,,,,,,,,,
1770,suburban,bundle,2,51,check,,,,,,,,,
1771,suburban,bundle,7,49,check,,,,,,,,,
1772,rural,single,3,35,credit card,,,,,,,,,
1773,rural,single,6,79,check,,,,,,,,,
1774,rural,single,9,95,credit card,,,,,,,,,
1775,rural,single,3,75,cash,,,,,,,,,
1776,rural,single,1,19,credit card,,,,,,,,,
1777,rural,single,7,35,check,,,,,,,,,
1778,rural,single,2,21,credit card,,,,,,,,,
1779,rural,twin,1,82,check,,,,,,,,,
1780,suburban,twin,3,30,credit card,,,,,,,,,
1781,suburban,twin,7,95,check,,,,,,,,,
1782,suburban,bundle,7,27,check,,,,,,,,,
1783,suburban,bundle,7,95,check,,,,,,,,,
1784,suburban,bundle,7,54,cash,,,,,,,,,
1785,suburban,bundle,7,24,check,,,,,,,,,
1786,suburban,bundle,7,22,credit card,,,,,,,,,
1787,urban,bundle,10,26,credit card,,,,,,,,,
1788,urban,liquid,7,66,credit card,,,,,,,,,
1789,urban,liquid,NA,NA,NA,,,,,,,,,
1790,rural,single,2,94,credit card,,,,,,,,,
1791,rural,single,3,46,check,,,,,,,,,
1792,rural,single,5,57,check,,,,,,,,,
1793,rural,single,3,36,cash,,,,,,,,,
1794,rural,twin,NA,NA,NA,,,,,,,,,
1795,rural,twin,NA,NA,NA,,,,,,,,,
1796,suburban,twin,8,88,cash,,,,,,,,,
1797,suburban,twin,5,37,check,,,,,,,,,
1798,suburban,twin,3,67,cash,,,,,,,,,
1799,suburban,twin,2,94,cash,,,,,,,,,
1800,suburban,twin,5,98,credit card,,,,,,,,,
1801,suburban,twin,4,49,credit card,,,,,,,,,
1802,suburban,bundle,4,76,check,,,,,,,,,
1803,suburban,bundle,7,39,credit card,,,,,,,,,
1804,urban,bundle,10,44,cash,,,,,,,,,
1805,urban,liquid,7,94,check,,,,,,,,,
1806,rural,single,8,18,check,,,,,,,,,
1807,rural,single,9,51,check,,,,,,,,,
1808,rural,single,4,42,check,,,,,,,,,
1809,rural,single,8,97,credit card,,,,,,,,,
1810,rural,single,NA,NA,NA,,,,,,,,,
1811,rural,single,6,23,cash,,,,,,,,,
1812,rural,single,NA,NA,NA,,,,,,,,,
1813,rural,single,2,31,credit card,,,,,,,,,
1814,rural,single,10,76,cash,,,,,,,,,
1815,rural,single,3,49,check,,,,,,,,,
1816,rural,single,10,57,cash,,,,,,,,,
1817,rural,twin,7,59,check,,,,,,,,,
1818,rural,twin,7,52,credit card,,,,,,,,,
1819,suburban,twin,1,19,cash,,,,,,,,,
1820,suburban,twin,10,52,credit card,,,,,,,,,
1821,suburban,twin,5,77,cash,,,,,,,,,
1822,suburban,bundle,4,90,credit card,,,,,,,,,
1823,suburban,bundle,3,75,check,,,,,,,,,
1824,urban,bundle,3,97,credit card,,,,,,,,,
1825,urban,liquid,NA,NA,NA,,,,,,,,,
1826,urban,liquid,6,89,check,,,,,,,,,
1827,urban,liquid,9,24,check,,,,,,,,,
1828,urban,liquid,2,56,cash,,,,,,,,,
